Trained Model,Test Dataset,mAP50,mAP50-95,Precision,Recall,FPS,Predictions,Ground Truth,Pole AP50,Pole Precision,Pole Recall,Pole F1,Trunk AP50,Trunk Precision,Trunk Recall,Trunk F1,Vine Row AP50,Vine Row Precision,Vine Row Recall,Vine Row F1
July 6x6 (v16),Test: March Dataset (v10),0.01178437003854568,0.0046635185261306635,0.01178437003854568,0.029784079641605194,20.836593753395977,627,2118,0.032877862590884564,0.032877862590884564,0.08611599297012303,0.047587495512281926,0.0,0.0,0.0,0.0,0.0024752475247524753,0.0024752475247524753,0.003236245954692557,0.0028050490883590466
Aug+Mar Full Res (v17),Test: August Dataset (v6),0.5486890855388725,0.18494539363467682,0.5486890855388725,0.6518049568985077,20.117224977608252,1239,1401,0.6543986086129066,0.6543986086129066,0.748792270531401,0.6984204747320827,0.43096355109880163,0.43096355109880163,0.48985959438377535,0.4585280710441153,0.5607050969049092,0.5607050969049092,0.7167630057803468,0.6292018873412796
Aug+Mar Full Res (v17),Test: July Dataset (v14),0.21941117735479462,0.07223550826912255,0.21941117735479462,0.3808294825690348,20.148550036437125,1032,1287,0.291508036701985,0.291508036701985,0.4444444444444444,0.35208557819190667,0.07092585240121889,0.07092585240121889,0.19967266775777415,0.10467133488848719,0.29579964296118,0.29579964296118,0.498371335504886,0.37125018944703414
Aug+Mar Full Res (v17),Test: March Dataset (v10),0.3112063860623986,0.09283484770814873,0.3112063860623986,0.4585954461994674,19.82858194726412,1422,2118,0.569069479489162,0.569069479489162,0.718804920913884,0.635232662549544,0.17811500729280352,0.17811500729280352,0.24274193548387096,0.2054664053952502,0.18643467140523012,0.18643467140523012,0.41423948220064727,0.2571397530043307
Aug+Mar 2x2 (v18),Test: August Dataset (v6),0.5749404574778137,0.1990610387126164,0.5749404574778137,0.679900688529845,19.739238136633457,1260,1401,0.6552122469105212,0.6552122469105212,0.7681159420289855,0.7071861235876825,0.4417727148475824,0.4417727148475824,0.5085803432137286,0.4728283179263455,0.6278364106753375,0.6278364106753375,0.7630057803468208,0.688852859871075
Aug+Mar 2x2 (v18),Test: July Dataset (v14),0.2687125632342602,0.09235328556106678,0.2687125632342602,0.41482702106378344,20.39380303198082,1003,1287,0.37203568697249284,0.37203568697249284,0.5121951219512195,0.4310070676931637,0.10591690733885169,0.10591690733885169,0.2078559738134206,0.14032737206207993,0.3281850953914361,0.3281850953914361,0.5244299674267101,0.4037228671921126
Aug+Mar 2x2 (v18),Test: March Dataset (v10),0.3231668953542642,0.09535226331256101,0.3231668953542642,0.4759407982935724,19.722602072291654,1463,2118,0.5941154045937425,0.5941154045937425,0.7328646748681898,0.6562362156910838,0.18147013555448543,0.18147013555448543,0.25806451612903225,0.2130935640426291,0.19391514591456457,0.19391514591456457,0.4368932038834951,0.26860839558408195
Aug+Mar 4x4 (v19),Test: August Dataset (v6),0.4807088591923104,0.16283468936402265,0.4807088591923104,0.5846129648151496,19.848540946774992,1084,1401,0.602339774370036,0.602339774370036,0.6956521739130435,0.6456418686249411,0.3018820720510088,0.3018820720510088,0.33853354134165364,0.3191590110602859,0.5379047311558866,0.5379047311558866,0.7196531791907514,0.6156453658207711
Aug+Mar 4x4 (v19),Test: July Dataset (v14),0.2557566428658631,0.1044869977647372,0.2557566428658631,0.36605705588732657,20.207675567334164,874,1287,0.4177771839809939,0.4177771839809939,0.4932249322493225,0.4523768267783992,0.06900061403796794,0.06900061403796794,0.14566284779050737,0.09364263349200137,0.28049213057862754,0.28049213057862754,0.4592833876221498,0.3482823444788365
Aug+Mar 4x4 (v19),Test: March Dataset (v10),0.2744154693410408,0.0748681702444897,0.2744154693410408,0.4125632799316363,19.497717155002608,1172,2118,0.5483809109118358,0.5483809109118358,0.687170474516696,0.6099805725789157,0.10611911468020403,0.10611911468020403,0.13951612903225807,0.12054726245915502,0.16874638243108245,0.16874638243108245,0.4110032362459547,0.23925952531797479
